date,Revenue,Operating Income,Net Income,EBITDA,Ticker
2005-12-25,1838300000.0,205715000.0,95600000.0,452071000.0,AMD
2005-09-25,1522800000.0,78728000.0,76000000.0,335535000.0,AMD
2005-06-26,1259900000.0,-7131000.0,11300000.0,301002000.0,AMD
2005-03-27,1226600000.0,-45657000.0,-17400000.0,289536000.0,AMD
2004-12-26,1263700000.0,18725000.0,-30000000.0,377406000.0,AMD
2004-09-26,1239500000.0,68358000.0,43800000.0,328283000.0,AMD
2004-06-27,1261800000.0,72440000.0,32200000.0,300237000.0,AMD
2004-03-28,1236400000.0,61286000.0,45100000.0,315326000.0,AMD
2003-12-28,1205600000.0,45815000.0,43200000.0,409528000.0,AMD
2003-09-28,953800000.0,-30229000.0,-31200000.0,226982000.0,AMD
2003-06-29,645300000.0,-123498000.0,-140100000.0,-4506000.0,AMD
2003-03-30,714600000.0,-125473000.0,-146400000.0,92059000.0,AMD
2022-04-30,2972064000.0,918161000.0,783273000.0,1504899000.0,ADI
2022-01-29,2684293000.0,364757000.0,280077000.0,945329000.0,ADI
2021-10-30,2339568000.0,99005000.0,75687000.0,377417000.0,ADI
2021-07-31,1758853000.0,609646000.0,503311000.0,813088000.0,ADI
2021-05-01,1661407000.0,519690000.0,422905000.0,717218000.0,ADI
2021-01-30,1558458000.0,463860000.0,388519000.0,680450000.0,ADI
2020-10-31,1526295000.0,461672000.0,386526000.0,668119000.0,ADI
2020-08-01,1456136000.0,419124000.0,362665000.0,620406000.0,ADI
2020-05-02,1317060000.0,344020000.0,267696000.0,548358000.0,ADI
2020-02-01,1303565000.0,273428000.0,203874000.0,381336000.0,ADI
2019-11-02,1443219000.0,338361000.0,277694000.0,543766000.0,ADI
2019-08-03,1480143000.0,446726000.0,362374000.0,653556000.0,ADI
2019-05-04,3067703000.0,469695000.0,722943000.0,1069419000.0,ADI
2019-02-02,1541101000.0,455826000.0,355006000.0,651759000.0,ADI
2018-11-03,1536128000.0,513372000.0,404855000.0,669628000.0,ADI
2018-08-04,1558200000.0,499039000.0,408600000.0,692030000.0,ADI
2018-05-05,1563500000.0,463976000.0,400300000.0,704435000.0,ADI
2018-02-03,1566900000.0,405348000.0,293200000.0,641795000.0,ADI
2017-10-28,1680000000.0,448210000.0,425800000.0,741253000.0,ADI
2017-07-29,1433900000.0,194821000.0,68900000.0,402328000.0,ADI
2017-04-29,1148000000.0,145835000.0,93600000.0,295878000.0,ADI
2017-01-28,984400000.0,266268000.0,217100000.0,330240000.0,ADI
2016-10-29,1003623000.0,356981000.0,296157000.0,415861000.0,ADI
2016-07-30,869600000.0,268707000.0,230400000.0,327524000.0,ADI
2016-04-30,778766000.0,207379000.0,170573000.0,265288000.0,ADI
2016-01-30,769400000.0,195045000.0,164500000.0,246818000.0,ADI
2015-10-31,978722000.0,108630000.0,96305000.0,162406000.0,ADI
2015-08-01,863400000.0,265269000.0,216500000.0,323803000.0,ADI
2015-05-02,821000000.0,249008000.0,205300000.0,309270000.0,ADI
2015-01-31,771986000.0,207934000.0,178757000.0,263938000.0,ADI
2014-11-01,814200000.0,149929000.0,108700000.0,208964000.0,ADI
2014-08-02,727800000.0,202546000.0,180600000.0,235541000.0,ADI
2014-05-03,694500000.0,220400000.0,187400000.0,251688000.0,ADI
2014-02-01,628200000.0,179609000.0,152600000.0,209861000.0,ADI
2013-11-02,678100000.0,199862000.0,201600000.0,316829000.0,ADI
2013-08-03,674200000.0,208342000.0,176200000.0,230175000.0,ADI
2013-05-04,659300000.0,191382000.0,164500000.0,221590000.0,ADI
2013-02-02,622100000.0,153489000.0,131200000.0,184324000.0,ADI
2012-11-03,695000000.0,215279000.0,179200000.0,246429000.0,ADI
2012-08-04,683000000.0,212471000.0,169800000.0,256694000.0,ADI
2012-05-05,675100000.0,212926000.0,162900000.0,235489000.0,ADI
2012-02-04,648100000.0,183372000.0,139400000.0,205043000.0,ADI
2011-10-29,716100000.0,235292000.0,183500000.0,256148000.0,ADI
2011-07-30,757900000.0,278841000.0,219900000.0,300480000.0,ADI
2011-04-30,790780000.0,298486000.0,241826000.0,330640000.0,ADI
2011-01-29,728500000.0,259406000.0,222100000.0,294685000.0,ADI
2010-10-30,770000000.0,285740000.0,225000000.0,317746000.0,ADI
2010-07-31,720290000.0,251145000.0,199491000.0,283126000.0,ADI
2010-05-01,668200000.0,214075000.0,167100000.0,244192000.0,ADI
2010-01-30,603000000.0,149114000.0,120500000.0,179882000.0,ADI
2009-10-31,571600000.0,128372000.0,105609000.0,162100000.0,ADI
2009-08-01,492000000.0,78945000.0,65500000.0,110711000.0,ADI
2009-05-02,474700000.0,57909000.0,51800000.0,100831000.0,ADI
2009-01-31,476569000.0,19591000.0,24949000.0,69034000.0,ADI
2008-11-01,660700000.0,160737000.0,143900000.0,218535000.0,ADI
2008-08-02,659000000.0,161190000.0,138600000.0,224982000.0,ADI
2008-05-03,649300000.0,157185000.0,133100000.0,220481000.0,ADI
2008-02-02,613900000.0,145913000.0,370700000.0,457574000.0,ADI
2007-11-03,623500000.0,133502000.0,97900000.0,186977000.0,ADI
2007-08-04,617400000.0,137644000.0,120400000.0,213509000.0,ADI
2007-05-05,597500000.0,131791000.0,125400000.0,224974000.0,ADI
2007-02-03,626300000.0,163249000.0,153200000.0,262723000.0,ADI
2006-10-28,609700000.0,119324000.0,138400000.0,189046000.0,ADI
2006-07-29,598900000.0,148886000.0,144700000.0,219522000.0,ADI
2006-04-29,577700000.0,151391000.0,145800000.0,233970000.0,ADI
2006-01-28,556600000.0,132205000.0,120600000.0,196373000.0,ADI
2005-10-29,622100000.0,122776000.0,68300000.0,182991000.0,ADI
2005-07-30,582400000.0,134614000.0,121400000.0,211373000.0,ADI
2005-04-30,603726000.0,133944000.0,117599000.0,190410000.0,ADI
2005-01-29,580500000.0,124653000.0,107400000.0,177585000.0,ADI
2004-10-30,632100000.0,158140000.0,132300000.0,209690000.0,ADI
2004-07-31,717793000.0,222698000.0,169050000.0,254737000.0,ADI
2004-05-01,678500000.0,187762000.0,152600000.0,232926000.0,ADI
2004-01-31,605353000.0,145597000.0,116839000.0,188036000.0,ADI
2003-11-01,557500000.0,111630000.0,88000000.0,144611000.0,ADI
2003-08-02,520400000.0,99752000.0,79000000.0,136490000.0,ADI
2003-05-03,501900000.0,88466000.0,71300000.0,126554000.0,ADI
2022-03-31,425077000.0,81163000.0,70988000.0,110076000.0,ANSS
2021-12-31,655667000.0,238848000.0,203171000.0,264151000.0,ANSS
2021-09-30,441168000.0,107628000.0,85342000.0,133195000.0,ANSS
2021-06-30,446654000.0,116773000.0,93716000.0,159260000.0,ANSS
2021-03-31,363226000.0,50022000.0,72398000.0,78020000.0,ANSS
2020-12-31,623686000.0,259391000.0,215632000.0,304365000.0,ANSS
2020-09-30,366965000.0,90085000.0,75627000.0,112838000.0,ANSS
2020-06-30,385661000.0,112807000.0,96564000.0,136279000.0,ANSS
2020-03-31,304985000.0,34073000.0,46064000.0,57677000.0,ANSS
2019-12-31,486228000.0,185716000.0,165852000.0,210894000.0,ANSS
2019-09-30,343899000.0,105047000.0,89463000.0,128469000.0,ANSS
2019-06-30,368635000.0,128628000.0,109750000.0,148531000.0,ANSS
2019-03-31,317130000.0,95649000.0,86230000.0,116564000.0,ANSS
2018-12-31,415432000.0,179936000.0,153163000.0,196976000.0,ANSS
2018-09-30,289418000.0,93024000.0,89336000.0,108866000.0,ANSS
2018-06-30,305913000.0,108553000.0,92596000.0,126847000.0,ANSS
2018-03-31,282873000.0,95061000.0,84280000.0,113651000.0,ANSS
2017-12-31,302336000.0,100679000.0,52585000.0,120069000.0,ANSS
2017-09-30,275585000.0,106183000.0,73630000.0,124855000.0,ANSS
2017-06-30,263924000.0,98394000.0,69730000.0,116290000.0,ANSS
2017-03-31,253405000.0,85472000.0,63306000.0,102158000.0,ANSS
2016-12-31,270628000.0,96966000.0,69983000.0,115379000.0,ANSS
2016-09-30,245862000.0,100099000.0,69557000.0,118467000.0,ANSS
2016-06-30,246069000.0,94155000.0,69628000.0,112981000.0,ANSS
2016-03-31,225906000.0,85022000.0,56468000.0,103296000.0,ANSS
2015-12-31,251647000.0,96943000.0,68021000.0,116642000.0,ANSS
2015-09-30,237840000.0,90183000.0,66033000.0,110121000.0,ANSS
2015-06-30,235485000.0,86495000.0,62335000.0,107088000.0,ANSS
2015-03-31,217781000.0,80058000.0,56132000.0,100909000.0,ANSS
2014-12-31,254375000.0,94048000.0,69633000.0,114783000.0,ANSS
2014-09-30,234000000.0,90808000.0,65479000.0,112419000.0,ANSS
2014-06-30,232375000.0,83532000.0,63036000.0,104477000.0,ANSS
2014-03-31,215271000.0,79062000.0,56542000.0,99163000.0,ANSS
2013-12-31,236020000.0,92252000.0,75929000.0,112205000.0,ANSS
2013-09-30,212658000.0,81637000.0,62430000.0,101814000.0,ANSS
2013-06-30,214850000.0,78425000.0,55945000.0,99697000.0,ANSS
2013-03-31,197732000.0,69549000.0,51023000.0,90643000.0,ANSS
2012-12-31,220748000.0,81639000.0,56063000.0,103795000.0,ANSS
2012-09-30,196909000.0,73652000.0,51619000.0,95823000.0,ANSS
2012-06-30,195016000.0,71134000.0,50262000.0,93187000.0,ANSS
2012-03-31,185345000.0,67828000.0,45539000.0,88825000.0,ANSS
2011-12-31,198209000.0,73143000.0,47457000.0,93161000.0,ANSS
2011-09-30,172935000.0,65329000.0,45546000.0,83287000.0,ANSS
2011-06-30,162258000.0,64813000.0,45431000.0,80411000.0,ANSS
2011-03-31,158047000.0,62274000.0,42241000.0,77286000.0,ANSS
2010-12-31,166573000.0,65385000.0,49140000.0,82069000.0,ANSS
2010-09-30,139843000.0,51877000.0,36130000.0,66946000.0,ANSS
2010-06-30,137767000.0,52383000.0,35493000.0,67993000.0,ANSS
2010-03-31,136053000.0,49623000.0,32369000.0,64700000.0,ANSS
2009-12-31,150362000.0,60356000.0,37630000.0,76941000.0,ANSS
2009-09-30,128187000.0,47632000.0,30529000.0,64278000.0,ANSS
2009-06-30,122026000.0,40660000.0,27137000.0,56172000.0,ANSS
2009-03-31,116310000.0,34829000.0,21095000.0,50725000.0,ANSS
2008-12-31,135301000.0,45780000.0,31913000.0,59274000.0,ANSS
2008-09-30,122247000.0,38296000.0,25775000.0,54289000.0,ANSS
2008-06-30,111246000.0,43854000.0,28129000.0,53327000.0,ANSS
2008-03-31,109545000.0,41801000.0,25854000.0,53016000.0,ANSS
2007-12-31,111236000.0,37942000.0,29289000.0,48482000.0,ANSS
2007-09-30,94034000.0,31610000.0,18696000.0,40516000.0,ANSS
2007-06-30,92211000.0,30396000.0,18256000.0,40918000.0,ANSS
2007-03-31,87859000.0,26821000.0,16151000.0,35262000.0,ANSS
2006-12-31,85248000.0,19989000.0,12264000.0,29095000.0,ANSS
2006-09-30,70117000.0,12855000.0,8372000.0,20494000.0,ANSS
2006-06-30,62264000.0,-14507000.0,-19393000.0,-8903000.0,ANSS
2006-03-31,46011000.0,17819000.0,12913000.0,21389000.0,ANSS
2005-12-31,43721000.0,17762000.0,13271000.0,21181000.0,ANSS
2005-09-30,39035000.0,14329000.0,11174000.0,17497000.0,ANSS
2005-06-30,37656000.0,13328000.0,9775000.0,16485000.0,ANSS
2005-03-31,37624000.0,13421000.0,9683000.0,16055000.0,ANSS
2004-12-31,38887000.0,14869000.0,12251000.0,17968000.0,ANSS
2004-09-30,32318000.0,10461000.0,7599000.0,12749000.0,ANSS
2004-06-30,32002000.0,10678000.0,7577000.0,12706000.0,ANSS
2004-03-31,31332000.0,9970000.0,7140000.0,12066000.0,ANSS
2003-12-31,33254000.0,10428000.0,7201000.0,12146000.0,ANSS
2003-09-30,28038000.0,7919000.0,5361000.0,9013000.0,ANSS
2003-06-30,27643000.0,6003000.0,4472000.0,8733000.0,ANSS
2003-03-31,24600000.0,5967000.0,4279000.0,7880000.0,ANSS
2022-03-26,97278000000.0,29979000000.0,25010000000.0,33567000000.0,AAPL
2021-12-25,123945000000.0,41488000000.0,34630000000.0,44632000000.0,AAPL
2021-09-25,83360000000.0,23786000000.0,20551000000.0,26909000000.0,AAPL
2021-06-26,81434000000.0,24126000000.0,21744000000.0,27866000000.0,AAPL
2021-03-27,89584000000.0,27503000000.0,23630000000.0,31478000000.0,AAPL
2020-12-26,111439000000.0,33534000000.0,28755000000.0,36883000000.0,AAPL
2020-09-26,64698000000.0,14775000000.0,12673000000.0,18237000000.0,AAPL
2020-06-27,59685000000.0,13091000000.0,11253000000.0,16586000000.0,AAPL
2020-03-28,58313000000.0,12853000000.0,11249000000.0,16678000000.0,AAPL
2019-12-28,91819000000.0,25569000000.0,22236000000.0,29519000000.0,AAPL
2019-09-28,64040000000.0,15625000000.0,13686000000.0,20116000000.0,AAPL
2019-06-29,53809000000.0,11544000000.0,10044000000.0,15710000000.0,AAPL
2019-03-30,58015000000.0,13415000000.0,11561000000.0,17843000000.0,AAPL
2018-12-29,84310000000.0,23346000000.0,19965000000.0,28191000000.0,AAPL
2018-09-29,62900000000.0,16118000000.0,14125000000.0,20043000000.0,AAPL
2018-06-30,53265000000.0,12612000000.0,11519000000.0,16795000000.0,AAPL
2018-03-31,61137000000.0,15894000000.0,13822000000.0,19699000000.0,AAPL
2017-12-30,88293000000.0,26274000000.0,20065000000.0,30509000000.0,AAPL
2017-09-30,52579000000.0,13120000000.0,10714000000.0,17067000000.0,AAPL
2017-07-01,45408000000.0,10768000000.0,8717000000.0,14264000000.0,AAPL
2017-04-01,52896000000.0,14097000000.0,11029000000.0,17546000000.0,AAPL
2016-12-31,78351000000.0,23359000000.0,17891000000.0,27692000000.0,AAPL
2016-09-24,46852000000.0,11761000000.0,9014000000.0,15186000000.0,AAPL
2016-06-25,42358000000.0,10105000000.0,7796000000.0,13404000000.0,AAPL
2016-03-26,50557000000.0,13987000000.0,10516000000.0,16940000000.0,AAPL
2015-12-26,75872000000.0,24171000000.0,18361000000.0,27803000000.0,AAPL
2015-09-26,51501000000.0,14623000000.0,11124000000.0,18419000000.0,AAPL
2015-06-27,49605000000.0,14083000000.0,10677000000.0,17758000000.0,AAPL
2015-03-28,58010000000.0,18278000000.0,13569000000.0,21206000000.0,AAPL
2014-12-27,74599000000.0,24246000000.0,18024000000.0,27122000000.0,AAPL
2014-09-27,42123000000.0,11165000000.0,8467000000.0,13556000000.0,AAPL
2014-06-28,37432000000.0,10282000000.0,7748000000.0,12530000000.0,AAPL
2014-03-29,45646000000.0,13593000000.0,10223000000.0,15790000000.0,AAPL
2013-12-28,57594000000.0,17463000000.0,13072000000.0,19937000000.0,AAPL
2013-09-28,37472000000.0,10030000000.0,7512000000.0,12009000000.0,AAPL
2013-06-29,35323000000.0,9201000000.0,6900000000.0,11182000000.0,AAPL
2013-03-30,43603000000.0,12558000000.0,9547000000.0,14597000000.0,AAPL
2012-12-29,54512000000.0,17210000000.0,13078000000.0,19260000000.0,AAPL
2012-09-29,35966000000.0,10944000000.0,8223000000.0,11874000000.0,AAPL
2012-06-30,35023000000.0,11573000000.0,8824000000.0,12696000000.0,AAPL
2012-03-31,39186000000.0,15384000000.0,11622000000.0,16272000000.0,AAPL
2011-12-31,46333000000.0,17340000000.0,13064000000.0,18198000000.0,AAPL
2011-09-24,28270000000.0,8710000000.0,6623000000.0,9334000000.0,AAPL
2011-06-25,28571000000.0,9379000000.0,7308000000.0,10032000000.0,AAPL
2011-03-26,24667000000.0,7874000000.0,5987000000.0,8334000000.0,AAPL
2010-12-25,26741000000.0,7827000000.0,6004000000.0,8319000000.0,AAPL
2010-09-25,20343000000.0,5447000000.0,4308000000.0,5790000000.0,AAPL
2010-06-26,15700000000.0,4234000000.0,3253000000.0,4565000000.0,AAPL
2010-03-27,13499000000.0,3979000000.0,3074000000.0,4245000000.0,AAPL
2009-12-26,15683000000.0,4725000000.0,3378000000.0,4967000000.0,AAPL
2009-09-26,9870000000.0,2193000000.0,1665000000.0,2435000000.0,AAPL
2009-06-27,8337000000.0,1672000000.0,1229000000.0,1908000000.0,AAPL
2009-03-28,8163000000.0,1667000000.0,1205000000.0,1902000000.0,AAPL
2008-12-27,10167000000.0,2126000000.0,1605000000.0,2442000000.0,AAPL
2008-09-27,7895000000.0,1442000000.0,1136000000.0,1716000000.0,AAPL
2008-06-28,7464000000.0,1392000000.0,1072000000.0,1627000000.0,AAPL
2008-03-29,7512000000.0,1315000000.0,1045000000.0,1593000000.0,AAPL
2007-12-29,9608000000.0,2126000000.0,1581000000.0,2432000000.0,AAPL
2007-09-29,6217000000.0,1060000000.0,904000000.0,1323000000.0,AAPL
2007-06-30,5410000000.0,1041000000.0,818000000.0,1277000000.0,AAPL
2007-03-31,5264000000.0,986000000.0,770000000.0,1203000000.0,AAPL
2006-12-30,7115000000.0,1322000000.0,1004000000.0,1522000000.0,AAPL
2006-09-30,4837000000.0,608000000.0,542000000.0,787000000.0,AAPL
2006-07-01,4370000000.0,566000000.0,472000000.0,718000000.0,AAPL
2006-04-01,4359000000.0,529000000.0,410000000.0,655000000.0,AAPL
2005-12-31,5749000000.0,750000000.0,565000000.0,883000000.0,AAPL
2005-09-24,3678000000.0,418000000.0,430000000.0,529000000.0,AAPL
2005-06-25,3520000000.0,427000000.0,320000000.0,519000000.0,AAPL
